Local,P051136266C,STATION SQUARE INVESTMENTS LIMITED,03/06/2026,|0110664710000048992,ETIMS/TIMS purchases,,1388.89,,,
Local,P051136266C,STATION SQUARE INVESTMENTS LIMITED,12/06/2026,|0110386290000145847,ETIMS/TIMS purchases,,1851.85,,,
Local,P051681671I,Hastin Patel Ltd,26/06/2026,|0210361850000016201,ETIMS/TIMS purchases,,4629.63,,,
Local,P051185760E,NEW ROCKWELL SERVICE  STATION LIMITED,28/06/2026,|KRACU0100085243/5400,ETIMS/TIMS purchases,,13888.89,,,
Local,P000591167T,VIVO ENERGY KENYA LIMITED,28/06/2026,|0110396110000612762,ETIMS/TIMS purchases,,52783.32,,,
Local,P051136266C,STATION SQUARE INVESTMENTS LIMITED,29/06/2026,|0110386290000148587,ETIMS/TIMS purchases,,1388.89,,,
Local,P052239158N,FOWS PETROLEUM LIMITED,30/06/2026,|KRACU0100067716/12528,ETIMS/TIMS purchases,,9259.58,,,
